Boltzman policy
-100.623

-114.257

-175.813

-143.39

-164.254

-89.786

-102.982

-70.001

-103.391

-138.623

-133.766

-124.585

-128.738

-148.29

-133.068

-130.521

-114.92

-113.289

-116.99

-159.366

-102.759

-131.813

-73.995

-141.402

-85.654

-140.484

-109.783

-120.174

-155.638

-44.424

-141.682

-110.715

-103.022

-116.836

-125.419

-160.999

-98.204

-126.448

-113.453

-159.86

-133.434

-189.068

-168.646

-135.585

-104.046

-91.059

-161.944

-115.181

-89.19

-96.141
