Greedy_Policy
-204.043

-2.157

-105.444

81.928

-40.253

187.768

120.428

-9.891

-103.451

208.162

-158.164

214.063

221.698

-165.577

-217.2

8.636

179.133

-21.776

186.009

108.933

79.928

188.534

233.917

139.33

206.727

10.689

81.068

-95.448

-19.501

-31.096

-40.471

235.738

277.913

103.704

-15.008

191.571

223.484

-50.77

-81.018

166.225

250.523

211.558

131.956

212.747

-181.381

-111.827

216.409

132.863

52.135

232.797
