Greedy Policy
-14.843

-58.133

-67.131

-55.414

-24.691

-26.965

0.929

-34.693

-48.433

-67.704

-67.19

-22.029

-25.372

-38.941

-45.271

-62.393

-65.721

-42.118

-58.452

-20.68

-33.175

-37.595

-44.85

-63.634

-31.301

-3.112

-35.091

-40.401

-35.193

-37.554

-72.807

-25.888

-53.227

-31.023

-55.002

-31.743

-9.674

-25.428

-45.631

-24.954

-65.238

-53.521

-18.223

-38.959

-8.783

-42.623

-57.948

-31.392

16.146

6.214
