Boltzman Policy
-403.428

-697.36

-593.528

-695.044

-473.086

-535.789

-501.223

-708.808

-753.492

-533.494

-644.977

-528.959

-506.181

-1057.714

-546.689

-554.996

-760.077

-704.776

-663.535

-697.212

-718.467

-561.605

-739.984

-671.858

-688.191

-610.462

-428.495

-751.407

-699.637

-689.467

-663.136

-636.2

-807.037

-792.779

-387.549

-427.757

-531.227

-700.653

-530.788

-529.052

-411.209

-487.916

-676.189

-724.493

-662.142

-583.066

-717.837

-696.414

-720.451

-311.755
